Location,Cleaned_Location,Coordinates
"1914 N 54TH ST,MKE","1914 N 54TH ST,MILWAUKEE","{'lat': 43.055563, 'lng': -87.98053}"
"3215 W STATE ST,MKE","3215 W STATE ST,MILWAUKEE","{'lat': 43.042105, 'lng': -87.954156}"
"1621 N FRANKLIN PL,MKE","1621 N FRANKLIN PL,MILWAUKEE","{'lat': 43.051112, 'lng': -87.897174}"
"1500 S 1ST ST,MKE","1500 S 1ST ST,MILWAUKEE","{'lat': 43.015738, 'lng': -87.910621}"
"3062 S 13TH ST,MKE","3062 S 13TH ST,MILWAUKEE","{'lat': 42.988721, 'lng': -87.928351}"
"5075 W HAMPTON AV,MKE","5075 W HAMPTAV,MILWAUKEE","{'lat': 43.011264, 'lng': -87.958409}"
"3427 N 83RD ST,MKE","3427 N 83RD ST,MILWAUKEE","{'lat': 43.081566, 'lng': -88.016043}"
"W WISCONSIN AV / N PLANKINTON AV,MKE","W WISCONSIN AVE & N PLANKINTAV,MILWAUKEE","{'lat': 43.038711, 'lng': -87.911251}"
"1900 W HAMPTON AV,MKE","1900 W HAMPTAV,MILWAUKEE","{'lat': 43.011264, 'lng': -87.958409}"
"428 S 70TH ST,MKE","428 S 70TH ST,MILWAUKEE","{'lat': 43.027761, 'lng': -87.999361}"
"5039 N 83RD ST,MKE","5039 N 83RD ST,MILWAUKEE","{'lat': 43.109507, 'lng': -88.014996}"
"3500 N 53RD ST,MKE","3500 N 53RD ST,MILWAUKEE","{'lat': 43.082442, 'lng': -87.979706}"
"1635 S 1ST ST,MKE","1635 S 1ST ST,MILWAUKEE","{'lat': 43.013567, 'lng': -87.911467}"
"960 W ARTHUR AV,MKE","960 W ARTHUR AV,MILWAUKEE","{'lat': 42.999351, 'lng': -87.923944}"
"2566 S KINNICKINNIC AV,MKE","2566 S KINNICKINNIC AV,MILWAUKEE","{'lat': 42.998316, 'lng': -87.899886}"
"605 E LYON ST,MKE","605 E LYST,MILWAUKEE","{'lat': 43.082018, 'lng': -87.889534}"
"927 W ARTHUR AV,MKE","927 W ARTHUR AV,MILWAUKEE","{'lat': 42.999068, 'lng': -87.923277}"
"10850 W PARK PL,MKE","10850 W PARK PL,MILWAUKEE","{'lat': 43.150629, 'lng': -88.049562}"
"N 38TH ST / W VLIET ST,MKE","N 38TH ST & W VLIET ST,MILWAUKEE","{'lat': 43.048752, 'lng': -87.960768}"
"1331 W BURNHAM ST,MKE","1331 W BURNHAM ST,MILWAUKEE","{'lat': 43.009781, 'lng': -87.929092}"
"2485 S 9TH PL,MKE","2485 S 9TH PL,MILWAUKEE","{'lat': 42.999396, 'lng': -87.923951}"
"1201 N 35TH ST,MKE","1201 N 35TH ST,MILWAUKEE","{'lat': 43.046333, 'lng': -87.958598}"
"3421 W LINCOLN AV,MKE","3421 W LINCOLN AV,MILWAUKEE","{'lat': 43.002768, 'lng': -87.957374}"
"8758 W APPLETON AV,MKE","8758 W APPLETAV,MILWAUKEE","{'lat': 43.011264, 'lng': -87.958409}"
"5545 N 66TH ST,MKE","5545 N 66TH ST,MILWAUKEE","{'lat': 43.088091, 'lng': -87.994637}"
"900 E LINCOLN AV,MKE","900 E LINCOLN AV,MILWAUKEE","{'lat': 43.003088, 'lng': -87.897898}"
"2414 W OKLAHOMA AV,MKE","2414 W OKLAHOMA AV,MILWAUKEE","{'lat': 42.988655, 'lng': -87.944669}"
"S 26TH ST / W LAPHAM ST,MKE","S 26TH ST & W LAPHAM ST,MILWAUKEE","{'lat': 43.014161, 'lng': -87.946434}"
"2630 W MEDFORD AV,MKE","2630 W MEDFORD AV,MILWAUKEE","{'lat': 43.065467, 'lng': -87.946333}"
"1437 S 31ST ST,MKE","1437 S 31ST ST,MILWAUKEE","{'lat': 43.016085, 'lng': -87.952931}"
"2487 S 12TH ST,MKE","2487 S 12TH ST,MILWAUKEE","{'lat': 42.999392, 'lng': -87.92758}"
"N TEUTONIA AV / W HADLEY ST,MKE","N TEUTONIA AVE & W HADLEY ST,MILWAUKEE","{'lat': 43.069528, 'lng': -87.929835}"
"3904 W WALNUT ST,MKE","3904 W WALNUT ST,MILWAUKEE","{'lat': 43.052636, 'lng': -87.962372}"
"3147 S 25TH ST,MKE","3147 S 25TH ST,MILWAUKEE","{'lat': 42.98741, 'lng': -87.946009}"
"1220 N 35TH ST,MKE","1220 N 35TH ST,MILWAUKEE","{'lat': 43.046377, 'lng': -87.957242}"
"4935 N 19TH ST,MKE","4935 N 19TH ST,MILWAUKEE","{'lat': 43.107264, 'lng': -87.934337}"
"4215 N 100TH ST,MKE","4215 N 100TH ST,MILWAUKEE","{'lat': 43.093118, 'lng': -88.0399}"
"7600 W HAMPTON AV,MKE","7600 W HAMPTAV,MILWAUKEE","{'lat': 43.011264, 'lng': -87.958409}"
"3069 N 29TH ST,MKE","3069 N 29TH ST,MILWAUKEE","{'lat': 43.074897, 'lng': -87.950027}"
"3735 N 6TH ST,MKE","3735 N 6TH ST,MILWAUKEE","{'lat': 43.084788, 'lng': -87.9188}"
"6231 W KAUL AV,MKE","6231 W KAUL AV,MILWAUKEE","{'lat': 43.127885, 'lng': -87.988976}"
"9210 W LISBON AV,MKE","9210 W LISBAV,MILWAUKEE","{'lat': 43.011264, 'lng': -87.958409}"
"4260 W HIGHLAND BL,MKE","4260 W HIGHLAND BL,MILWAUKEE","{'lat': 43.048115, 'lng': -87.964635}"
"3432 W VLIET ST,MKE","3432 W VLIET ST,MILWAUKEE","{'lat': 43.04896, 'lng': -87.957358}"
"901 N 9TH ST,MKE","901 N 9TH ST,MILWAUKEE","{'lat': 43.041733, 'lng': -87.923662}"
"5022 W HAMPTON AV,MKE","5022 W HAMPTAV,MILWAUKEE","{'lat': 43.011264, 'lng': -87.958409}"
"2213 S 15TH PL,MKE","2213 S 15TH PL,MILWAUKEE","{'lat': 43.004312, 'lng': -87.932518}"
"4406 W TOWNSEND ST,MKE","4406 W TOWNSEND ST,MILWAUKEE","{'lat': 43.081268, 'lng': -87.968621}"
"2562 N 53RD ST,MKE","2562 N 53RD ST,MILWAUKEE","{'lat': 43.065656, 'lng': -87.979451}"
"3310 N 96TH ST,MKE","3310 N 96TH ST,MILWAUKEE","{'lat': 43.078964, 'lng': -88.03199}"
"1305 W LOCUST ST,MKE","1305 W LOCUST ST,MILWAUKEE","{'lat': 43.070886, 'lng': -87.92833}"
"4010 N 6TH ST,MKE","4010 N 6TH ST,MILWAUKEE","{'lat': 43.089719, 'lng': -87.917972}"
"N 76TH ST / W CLINTON AV,MKE","N 76TH ST & W CLINTAV,MILWAUKEE","{'lat': 43.108634, 'lng': -88.006087}"
"820 E KNAPP ST,MKE","820 E KNAPP ST,MILWAUKEE","{'lat': 43.047521, 'lng': -87.901513}"
"1700 W MC KINLEY AV,MKE","1700 W MC KINLEY AV,MILWAUKEE","{'lat': 43.038313, 'lng': -87.916534}"
"3900 N PALMER ST,MKE","3900 N PALMER ST,MILWAUKEE","{'lat': 43.088083, 'lng': -87.909022}"
"1222 S CESAR E CHAVEZ DR,MKE","1222 S CESAR E CHAVEZ DR,MILWAUKEE","{'lat': 43.018581, 'lng': -87.932608}"
"5029 N 65TH ST,MKE","5029 N 65TH ST,MILWAUKEE","{'lat': 43.109052, 'lng': -87.992745}"
"3118 S 9TH ST,MKE","3118 S 9TH ST,MILWAUKEE","{'lat': 42.987768, 'lng': -87.922324}"
"3169 S 47TH ST,MKE","3169 S 47TH ST,MILWAUKEE","{'lat': 42.986778, 'lng': -87.973171}"
"735 S 35TH ST,MKE","735 S 35TH ST,MILWAUKEE","{'lat': 43.022874, 'lng': -87.958012}"
"4901 W FOREST HOME AV,GFD","4901 W FOREST HOME AV,GFD, MILWAUKEE","{'lat': 42.984612, 'lng': -87.975445}"
"2000 W LAPHAM ST,MKE","2000 W LAPHAM ST,MILWAUKEE","{'lat': 43.014438, 'lng': -87.938226}"
"7601 W GOOD HOPE RD,MKE","7601 W GOOD HOPE RD,MILWAUKEE","{'lat': 43.148874, 'lng': -88.005273}"
"2214 N FARWELL AV,MKE","2214 N FARWELL AV,MILWAUKEE","{'lat': 43.059382, 'lng': -87.885773}"
"3551 S 27TH ST,MKE","3551 S 27TH ST,MILWAUKEE","{'lat': 42.980012, 'lng': -87.951801}"
3940 N SHERMAN,"3940 N SHERMAN, MILWAUKEE","{'lat': 43.088912, 'lng': -87.96649}"
"1801 W BECHER ST,MKE","1801 W BECHER ST,MILWAUKEE","{'lat': 43.006316, 'lng': -87.935519}"
116 W WISCONSIN AVE,"116 W WISCONSIN AVE, MILWAUKEE","{'lat': 43.039095, 'lng': -87.910936}"
"3975 N 68TH ST,MKE","3975 N 68TH ST,MILWAUKEE","{'lat': 43.089399, 'lng': -87.997304}"
"9118 W GRANTOSA DR,MKE","9118 W GRANTOSA DR,MILWAUKEE","{'lat': 43.099911, 'lng': -88.026774}"
"9700 W DARNEL AV,MKE","9700 W DARNEL AV,MILWAUKEE","{'lat': 43.169312, 'lng': -88.035601}"
"4647 W SCRANTON PL,MKE","4647 W SCRANTPL,MILWAUKEE","{'lat': 43.083348, 'lng': -87.97171}"
"370 E CAPITOL DR,MKE","370 E CAPITOL DR,MILWAUKEE","{'lat': 43.090339, 'lng': -87.905944}"
"3355 S 27TH ST,MKE","3355 S 27TH ST,MILWAUKEE","{'lat': 42.984014, 'lng': -87.950121}"
"1300 W LAYTON AV,MKE","1300 W LAYTAV,MILWAUKEE","{'lat': 43.011264, 'lng': -87.958409}"
"515 W KEEFE AV,MKE","515 W KEEFE AV,MILWAUKEE","{'lat': 43.081796, 'lng': -87.916591}"
"4141 N 64TH ST,MKE","4141 N 64TH ST,MILWAUKEE","{'lat': 43.093643, 'lng': -87.993163}"
"2312 N BOOTH ST,MKE","2312 N BOOTH ST,MILWAUKEE","{'lat': 43.060579, 'lng': -87.903692}"
"1116 N 13TH ST,MKE","1116 N 13TH ST,MILWAUKEE","{'lat': 43.04482, 'lng': -87.9282}"
600 W CLYBOURN,"600 W CLYBOURN, MILWAUKEE","{'lat': 43.035884, 'lng': -87.919023}"
"2857 N 20TH ST,MKE","2857 N 20TH ST,MILWAUKEE","{'lat': 43.070887, 'lng': -87.937711}"
6400 W HOPE,"6400 W HOPE, MILWAUKEE","{'lat': 43.093345, 'lng': -87.975733}"
"730 W GREENFIELD AV,MKE","730 W GREENFIELD AV,MILWAUKEE","{'lat': 43.017315, 'lng': -87.92066}"
"2509 W BECHER ST,MKE","2509 W BECHER ST,MILWAUKEE","{'lat': 43.00643, 'lng': -87.945484}"
"4000 N HUMBOLDT BL,MKE","4000 N HUMBOLDT BL,MILWAUKEE","{'lat': 43.089038, 'lng': -87.899875}"
"2900 W OKLAHOMA AV,MKE","2900 W OKLAHOMA AV,MILWAUKEE","{'lat': 42.990356, 'lng': -87.9515}"
"6415 N 91ST ST,MKE","6415 N 91ST ST,MILWAUKEE","{'lat': 43.134472, 'lng': -88.025992}"
"3642 S 83RD ST,MKE","3642 S 83RD ST,MILWAUKEE","{'lat': 42.978207, 'lng': -88.016033}"
"S 13TH ST / W MALLORY AV,MKE","S 13TH ST & W MALLORY AV,MILWAUKEE","{'lat': 42.946565, 'lng': -87.929389}"
"3397 N 21ST ST,MKE","3397 N 21ST ST,MILWAUKEE","{'lat': 43.080999, 'lng': -87.938742}"
"1707 W LAPHAM ST,MKE","1707 W LAPHAM ST,MILWAUKEE","{'lat': 43.013841, 'lng': -87.934356}"
"3310 W AUER AV,MKE","3310 W AUER AV,MILWAUKEE","{'lat': 43.077181, 'lng': -87.955397}"
"2801 S 27TH ST,MKE","2801 S 27TH ST,MILWAUKEE","{'lat': 42.993667, 'lng': -87.948407}"
100 N. WATER ST,"100 N. WATER ST, MILWAUKEE","{'lat': 43.031273, 'lng': -87.909524}"
"2479 S KINNICKINNIC AV,MKE","2479 S KINNICKINNIC AV,MILWAUKEE","{'lat': 42.999706, 'lng': -87.90191}"
4216 N 39TH ST,"4216 N 39TH ST, MILWAUKEE","{'lat': 43.093893, 'lng': -87.961608}"
"3720 N 54TH BL,MKE","3720 N 54TH BL,MILWAUKEE","{'lat': 43.084919, 'lng': -87.980375}"
"401 E CAPITOL DR,MKE","401 E CAPITOL DR,MILWAUKEE","{'lat': 43.08798, 'lng': -87.905979}"
"S 12TH ST / W GREENFIELD AV,MKE","S 12TH ST & W GREENFIELD AV,MILWAUKEE","{'lat': 43.01704, 'lng': -87.926758}"
"2040 W OKLAHOMA AV,MKE","2040 W OKLAHOMA AV,MILWAUKEE","{'lat': 42.989399, 'lng': -87.939435}"
"N MARTIN L KING JR DR / W NORTH AV,MKE","N DOCTOR M.L.K. DR & W NORTH AV,MILWAUKEE","{'lat': 43.011264, 'lng': -87.958409}"
"1646 S 7TH ST,MKE","1646 S 7TH ST,MILWAUKEE","{'lat': 43.013118, 'lng': -87.919497}"
"6500 N 68TH ST,MKE","6500 N 68TH ST,MILWAUKEE","{'lat': 43.135976, 'lng': -87.995884}"
"N 26TH ST / W ST PAUL AV,MKE","N 26TH ST & W ST PAUL AV,MILWAUKEE","{'lat': 43.034945, 'lng': -87.946381}"
"300 W MICHIGAN ST,MKE","300 W MICHIGAN ST,MILWAUKEE","{'lat': 43.037739, 'lng': -87.914674}"
"2336 W WISCONSIN AV,MKE","2336 W WISCONSIN AV,MILWAUKEE","{'lat': 43.039059, 'lng': -87.942612}"
"N 84TH ST / W CONGRESS ST,MKE","N 84TH ST & W CONGRESS ST,MILWAUKEE","{'lat': 43.09709, 'lng': -88.017394}"
"4309 N 64TH ST,MKE","4309 N 64TH ST,MILWAUKEE","{'lat': 43.095715, 'lng': -87.992201}"
"3715 N 41ST ST,MKE","3715 N 41ST ST,MILWAUKEE","{'lat': 43.084702, 'lng': -87.964516}"
"1539 S 9TH ST,MKE","1539 S 9TH ST,MILWAUKEE","{'lat': 43.015116, 'lng': -87.922913}"
"160 E BECHER ST,MKE","160 E BECHER ST,MILWAUKEE","{'lat': 43.006651, 'lng': -87.909141}"
"2432 N 28TH ST,MKE","2432 N 28TH ST,MILWAUKEE","{'lat': 43.063198, 'lng': -87.948283}"
"2034 S 14TH ST,MKE","2034 S 14TH ST,MILWAUKEE","{'lat': 43.007442, 'lng': -87.929186}"
"3929 S 6TH ST,MKE","3929 S 6TH ST,MILWAUKEE","{'lat': 42.97216, 'lng': -87.923178}"
"3429 N 77TH ST,MKE","3429 N 77TH ST,MILWAUKEE","{'lat': 43.081229, 'lng': -88.008831}"
"2738 N 55TH ST,MKE","2738 N 55TH ST,MILWAUKEE","{'lat': 43.068921, 'lng': -87.981716}"
"1320 W BURNHAM ST,MKE","1320 W BURNHAM ST,MILWAUKEE","{'lat': 43.010759, 'lng': -87.928752}"
"8784 W SILVER SPRING DR,MKE","8784 W SILVER SPRING DR,MILWAUKEE","{'lat': 43.119685, 'lng': -88.021785}"
"N HACKETT AV / E HAMPSHIRE ST,MKE","N HACKETT AVE & E HAMPSHIRE ST,MILWAUKEE","{'lat': 43.075648, 'lng': -87.876738}"
MUNI COURT ENTRANCE,"MUNI COURT ENTRANCE, MILWAUKEE","{'lat': 42.896521, 'lng': -87.906008}"
"841 N JAMES LOVELL ST,MKE","841 N JAMES LOVELL ST,MILWAUKEE","{'lat': 43.041541, 'lng': -87.921792}"
"3018 N RICHARDS ST,MKE","3018 N RICHARDS ST,MILWAUKEE","{'lat': 43.07336, 'lng': -87.907285}"
"N 19TH PL / W HAMPTON AV,MKE","N 19TH PL & W HAMPTAV,MILWAUKEE","{'lat': 43.094124, 'lng': -87.935558}"
400 W NATIONAL AVE,"400 W NATIONAL AVE, MILWAUKEE","{'lat': 43.023065, 'lng': -87.915433}"
"4576 N 44TH ST,MKE","4576 N 44TH ST,MILWAUKEE","{'lat': 43.100619, 'lng': -87.967679}"
"2639 N HUMBOLDT BL,MKE","2639 N HUMBOLDT BL,MILWAUKEE","{'lat': 43.066458, 'lng': -87.89819}"
"4777 N 124TH ST,BUT","4777 N 124TH ST,BUT, MILWAUKEE","{'lat': 43.104402, 'lng': -88.066171}"
"400 W NATIONAL AV,MKE","400 W NATIONAL AV,MILWAUKEE","{'lat': 43.023065, 'lng': -87.915433}"
"380 E CAPITOL DR,MKE","380 E CAPITOL DR,MILWAUKEE","{'lat': 43.090339, 'lng': -87.905944}"
"S 6TH ST / W MANITOBA ST,MKE","S 6TH ST & W MANITOBA ST,MILWAUKEE","{'lat': 42.990149, 'lng': -87.919049}"
"2805 W JUNEAU AV,MKE","2805 W JUNEAU AV,MILWAUKEE","{'lat': 43.045726, 'lng': -87.949411}"
"4454 S GRIFFIN AV,MKE","4454 S GRIFFIN AV,MILWAUKEE","{'lat': 42.963322, 'lng': -87.904274}"
"1629 S 10TH ST,MKE","1629 S 10TH ST,MILWAUKEE","{'lat': 43.013482, 'lng': -87.92438}"
"2241 N BUFFUM ST,MKE","2241 N BUFFUM ST,MILWAUKEE","{'lat': 43.06005, 'lng': -87.907071}"
"N 26TH ST / W HAMPTON AV,MKE","N 26TH ST & W HAMPTAV,MILWAUKEE","{'lat': 43.071529, 'lng': -87.945949}"
"1615 E LOCUST ST,MKE","1615 E LOCUST ST,MILWAUKEE","{'lat': 43.070368, 'lng': -87.890329}"
"1125 N CALLAHAN PL,MKE","1125 N CALLAHAN PL,MILWAUKEE","{'lat': 43.045091, 'lng': -87.932984}"
"4643 N 40TH ST,MKE","4643 N 40TH ST,MILWAUKEE","{'lat': 43.101678, 'lng': -87.96299}"
"2462 S 13TH ST,MKE","2462 S 13TH ST,MILWAUKEE","{'lat': 42.999838, 'lng': -87.928093}"
"539 S HAWLEY RD,MKE","539 S HAWLEY RD,MILWAUKEE","{'lat': 43.026112, 'lng': -87.98591}"
"1417 S 11TH ST,MKE","1417 S 11TH ST,MILWAUKEE","{'lat': 43.016557, 'lng': -87.925685}"
"3014 W SCOTT ST,MKE","3014 W SCOTT ST,MILWAUKEE","{'lat': 43.019593, 'lng': -87.951953}"
"2800 W CLEVELAND AV,MKE","2800 W CLEVELAND AV,MILWAUKEE","{'lat': 42.995729, 'lng': -87.949392}"
"5000 W CUSTER AV,MKE","5000 W CUSTER AV,MILWAUKEE","{'lat': 43.115514, 'lng': -87.975054}"
"1006 S BARCLAY ST,MKE","1006 S S BARCLAY ST,MILWAUKEE","{'lat': 43.020803, 'lng': -87.909259}"
"4216 N 39TH ST,MKE","4216 N 39TH ST,MILWAUKEE","{'lat': 43.093893, 'lng': -87.961608}"
"700 E JONES ST,MKE","700 E JONES ST,MILWAUKEE","{'lat': 43.022401, 'lng': -87.898736}"
"5675 N 56TH ST,MKE","5675 N 56TH ST,MILWAUKEE","{'lat': 43.120999, 'lng': -87.982984}"
"700 S 4TH ST,MKE","700 S 4TH ST,MILWAUKEE","{'lat': 43.023721, 'lng': -87.91465}"
"1113 W ORCHARD ST,MKE","1113 W ORCHARD ST,MILWAUKEE","{'lat': 43.015877, 'lng': -87.925508}"
2400 W LINCOLN AV,"2400 W LINCOLN AV, MILWAUKEE","{'lat': 43.003525, 'lng': -87.944533}"
"924 W HAYES AV,MKE","924 W HAYES AV,MILWAUKEE","{'lat': 43.001404, 'lng': -87.923229}"
"2450 N 4TH ST,MKE","2450 N 4TH ST,MILWAUKEE","{'lat': 43.063233, 'lng': -87.915096}"
"S 13TH ST / W COLLEGE AV,MKE","S 13TH ST & W COLLEGE AV,MILWAUKEE","{'lat': 42.930264, 'lng': -87.929949}"
"N 17TH ST / W HIGHLAND AV,MKE","N 17TH ST & W HIGHLAND AV,MILWAUKEE","{'lat': 43.044336, 'lng': -87.933994}"
RIVERSIDE HIGH,"RIVERSIDE HIGH, MILWAUKEE","{'lat': 43.068795, 'lng': -87.887951}"
"450 S 90TH ST,MKE","450 S 90TH ST,MILWAUKEE","{'lat': 43.026365, 'lng': -88.023923}"
"1950 W OKLAHOMA AV,MKE","1950 W OKLAHOMA AV,MILWAUKEE","{'lat': 42.98854, 'lng': -87.937807}"
"W HAMPTON AV / N 49TH ST,MKE","W HAMPTAV & N 49TH ST,MILWAUKEE","{'lat': 43.011264, 'lng': -87.958409}"
"5751 W FOND DU LAC AV,MKE","5751 W FOND DU LAC AV,MILWAUKEE","{'lat': 43.096582, 'lng': -87.985484}"
"3403 W SCOTT ST,MKE","3403 W SCOTT ST,MILWAUKEE","{'lat': 43.018773, 'lng': -87.956502}"
"3046 N 9TH ST,MKE","3046 N 9TH ST,MILWAUKEE","{'lat': 43.07411, 'lng': -87.922105}"
"N 37TH ST / W STATE ST,MKE","N 37TH ST & W STATE ST,MILWAUKEE","{'lat': 43.04341, 'lng': -87.959589}"
"3129 N JULIA ST,MKE","3129 N JULIA ST,MILWAUKEE","{'lat': 43.075433, 'lng': -87.916002}"
"1312 S 1ST ST,MKE","1312 S 1ST ST,MILWAUKEE","{'lat': 43.017505, 'lng': -87.9103}"
"1300 W GREENFIELD AV,MKE","1300 W GREENFIELD AV,MILWAUKEE","{'lat': 43.017327, 'lng': -87.928034}"
"5400 N 51ST BL,MKE","5400 N 51ST BL,MILWAUKEE","{'lat': 43.117337, 'lng': -87.971914}"
"4779 N 37TH ST,MKE","4779 N 37TH ST,MILWAUKEE","{'lat': 43.104287, 'lng': -87.959297}"
"3223 N 33RD ST,MKE","3223 N 33RD ST,MILWAUKEE","{'lat': 43.077547, 'lng': -87.955253}"
"2463 N BUFFUM ST,MKE","2463 N BUFFUM ST,MILWAUKEE","{'lat': 43.062956, 'lng': -87.907121}"
"3410 N 12TH ST,MKE","3410 N 12TH ST,MILWAUKEE","{'lat': 43.080458, 'lng': -87.925669}"
"1110 S 1ST ST,MKE","1110 S 1ST ST,MILWAUKEE","{'lat': 43.019785, 'lng': -87.910804}"
"814 N LINCOLN MEMORIAL DR,MKE","814 N LINCOLN MEMORIAL DR,MILWAUKEE","{'lat': 43.045004, 'lng': -87.895403}"
"4820 N 37TH ST,MKE","4820 N 37TH ST,MILWAUKEE","{'lat': 43.105102, 'lng': -87.958619}"
"400 W MICHIGAN ST,MKE","400 W MICHIGAN ST,MILWAUKEE","{'lat': 43.037252, 'lng': -87.91601}"
"8951 N 95TH ST,MKE","8951 N 95TH ST,MILWAUKEE","{'lat': 43.180615, 'lng': -88.026447}"
"N 33RD ST / W LISBON AV,MKE","N 33RD ST & W LISBAV,MILWAUKEE","{'lat': 43.057882, 'lng': -87.955311}"
"1100 W LINCOLN AV,MKE","1100 W LINCOLN AV,MILWAUKEE","{'lat': 43.003075, 'lng': -87.926044}"
"1011 W CENTER ST,MKE","1011 W CENTER ST,MILWAUKEE","{'lat': 43.067482, 'lng': -87.924154}"
"N 37TH ST / W WISCONSIN AV,MKE","N 37TH ST & W WISCONSIN AV,MILWAUKEE","{'lat': 43.03876, 'lng': -87.959018}"
"1021 N OLD WORLD THIRD ST,MKE","1021 N OLD WORLD THIRD ST,MILWAUKEE","{'lat': 43.043446, 'lng': -87.914891}"
"N 31ST ST / W JUNEAU AV,MKE","N 31ST ST & W JUNEAU AV,MILWAUKEE","{'lat': 43.045881, 'lng': -87.952464}"
"S 35TH ST / W NATIONAL AV,MKE","S 35TH ST & W NATIONAL AV,MILWAUKEE","{'lat': 43.021611, 'lng': -87.957698}"
"W HAMPTON AV / N 18TH ST,MKE","W HAMPTAV & N 18TH ST,MILWAUKEE","{'lat': 43.011264, 'lng': -87.958409}"
"3331 W LINCOLN AV,MKE","3331 W LINCOLN AV,MILWAUKEE","{'lat': 43.002783, 'lng': -87.956363}"
"5877 N 70TH ST,MKE","5877 N 70TH ST,MILWAUKEE","{'lat': 43.124799, 'lng': -87.998719}"
"2519 N PROSPECT AV,MKE","2519 N PROSPECT AV,MILWAUKEE","{'lat': 43.064057, 'lng': -87.880902}"
"700 N ART MUSEUM DR,MKE","700 N ART MUSEUM DR,MILWAUKEE","{'lat': 43.040558, 'lng': -87.897021}"
"N 35TH ST / W TOWNSEND ST,MKE","N 35TH ST & W TOWNSEND ST,MILWAUKEE","{'lat': 43.081126, 'lng': -87.957216}"
"1017 N 12TH ST,MKE","1017 N 12TH ST,MILWAUKEE","{'lat': 43.043744, 'lng': -87.927878}"
"N 42ND ST / W GREEN TREE RD,MKE","N 42ND ST & W GREEN TREE RD,MILWAUKEE","{'lat': 43.141272, 'lng': -87.964466}"
"3776 S 17TH ST,MKE","3776 S 17TH ST,MILWAUKEE","{'lat': 42.975777, 'lng': -87.934789}"
"2125 S 5TH PL,MKE","2125 S 5TH PL,MILWAUKEE","{'lat': 43.005832, 'lng': -87.917944}"
"4924 S 13TH ST,MKE","4924 S 13TH ST,MILWAUKEE","{'lat': 42.954717, 'lng': -87.927512}"
"1418 S 11TH ST,MKE","1418 S 11TH ST,MILWAUKEE","{'lat': 43.016851, 'lng': -87.925207}"
"1117 N 33RD ST,MKE","1117 N 33RD ST,MILWAUKEE","{'lat': 43.044757, 'lng': -87.955348}"
"6700 N INDUSTRIAL RD,MKE","6700 N INDUSTRIAL RD,MILWAUKEE","{'lat': 43.140324, 'lng': -87.9973}"
"N 27TH ST / W CENTER ST,MKE","N 27TH ST & W CENTER ST,MILWAUKEE","{'lat': 43.067909, 'lng': -87.947389}"
"2809 W HIGHLAND BL,MKE","2809 W HIGHLAND BL,MILWAUKEE","{'lat': 43.044081, 'lng': -87.949219}"
"11300 W HEATHER AV,MKE","11300 W HEATHER AV,MILWAUKEE","{'lat': 43.17601, 'lng': -88.051554}"
"4921 W GARFIELD AV,MKE","4921 W GARFIELD AV,MILWAUKEE","{'lat': 43.05855, 'lng': -87.975304}"
"2200 S KINNICKINNIC AV,MKE","2200 S KINNICKINNIC AV,MILWAUKEE","{'lat': 43.05936, 'lng': -87.953523}"
"S 23RD ST / W NATIONAL AV,MKE","S 23RD ST & W NATIONAL AV,MILWAUKEE","{'lat': 43.022512, 'lng': -87.942239}"
"N 27TH ST / W ROOSEVELT DR,MKE","N 27TH ST & W ROOSEVELT DR,MILWAUKEE","{'lat': 43.09516, 'lng': -87.946872}"
"2222 N 44TH ST,MKE","2222 N 44TH ST,MILWAUKEE","{'lat': 43.059765, 'lng': -87.968461}"
"N 13TH ST / W ATKINSON AV,MKE","N 13TH ST & W ATKINSAV,MILWAUKEE","{'lat': 43.085555, 'lng': -87.927197}"
"N 2ND ST / W LLOYD ST,MKE","N 2ND ST & W LLOYD ST,MILWAUKEE","{'lat': 43.057783, 'lng': -87.9127}"
"433 W ST PAUL AV,MKE","433 W ST PAUL AV,MILWAUKEE","{'lat': 43.034556, 'lng': -87.922107}"
"N 53RD ST / W SILVER SPRING DR,MKE","N 53RD ST & W SILVER SPRING DR,MILWAUKEE","{'lat': 43.117523, 'lng': -87.978735}"
"515 E OTJEN ST,MKE","515 E OTJEN ST,MILWAUKEE","{'lat': 42.997547, 'lng': -87.903007}"
"1515 W LAPHAM BL,MKE","1515 W LAPHAM BL,MILWAUKEE","{'lat': 43.013404, 'lng': -87.929937}"
"2508 N STOWELL AV,MKE","2508 N STOWELL AV,MILWAUKEE","{'lat': 43.063998, 'lng': -87.878965}"
"N 105TH ST / W BRADLEY RD,MKE","N 105TH ST & W BRADLEY RD,MILWAUKEE","{'lat': 43.162994, 'lng': -88.042448}"
"1975 S 14TH ST,MKE","1975 S 14TH ST,MILWAUKEE","{'lat': 43.008506, 'lng': -87.929909}"
"1645 N FRANKLIN PL,MKE","1645 N FRANKLIN PL,MILWAUKEE","{'lat': 43.051636, 'lng': -87.897161}"
"423 N 29TH ST,MKE","423 N 29TH ST,MILWAUKEE","{'lat': 43.035313, 'lng': -87.950681}"
MCCC,"MCCC, MILWAUKEE","{'lat': 43.011264, 'lng': -87.958409}"
"N 32ND ST / W CLYBOURN ST,MKE","N 32ND ST & W CLYBOURN ST,MILWAUKEE","{'lat': 43.036149, 'lng': -87.954021}"
